A!NET_NAME!PIN_NUMBER_SORT!CLASS!REFDES!SYM_TYPE!SYM_NAME!SYM_X!SYM_Y!SYM_ROTATE!SYM_MIRROR!PIN_NAME!PIN_NUMBER!PIN_X!PIN_Y!PIN_EDITED!PAD_STACK_NAME!VIA_X!VIA_Y!PIN_ROTATION!TEST_POINT!NET_PROBE_NUMBER!
J!E:/design/ROHM/13_Archange-BU90004GWZ-E2EVK-101/working/20140212/gerber/extracta/163/BU90004GWZ-E2EVK-101_BRD_REV00_2014-02-12.brd!Wed Feb 12 16:27:52 2014!-17655.559!-26982.181!36344.441!18819.189!0.001!mils!BU90004GWZ-E2EVK-101_SCH_REV00_2014-02-12!62.000000 mil!2!UP TO DATE!
S!N10688! 00000001!PIN!L1!PACKAGE!SMT_2P5X2P0_FIT!1035.000!1040.000!0.000!NO!1!1!1003.504!1040.000!NO!048X080SM!!!0.000!!!
S!VOUT! 00000002!PIN!L1!PACKAGE!SMT_2P5X2P0_FIT!1035.000!1040.000!0.000!NO!2!2!1066.496!1040.000!NO!048X080SM!!!0.000!!!
S!GND! 00000002!PIN!C3!PACKAGE!C0603!840.000!1045.000!270.000!NO!2!2!840.000!1074.000!NO!030X032SM!!!90.000!!!
S!VIN! 00000001!PIN!C3!PACKAGE!C0603!840.000!1045.000!270.000!NO!1!1!840.000!1016.000!NO!030X032SM!!!90.000!!!
S!GND! 00000002!PIN!C2!PACKAGE!C0603!1030.000!1130.000!0.000!NO!2!2!1001.000!1130.000!NO!030X032SM!!!90.000!!!
S!VOUT! 00000001!PIN!C2!PACKAGE!C0603!1030.000!1130.000!0.000!NO!1!1!1059.000!1130.000!NO!030X032SM!!!90.000!!!
S!GND! 00000002!PIN!C1!PACKAGE!C0603!780.000!1045.000!270.000!NO!2!2!780.000!1074.000!NO!030X032SM!!!90.000!!!
S!VIN! 00000001!PIN!C1!PACKAGE!C0603!780.000!1045.000!270.000!NO!1!1!780.000!1016.000!NO!030X032SM!!!90.000!!!
S!!!PIN!!PACKAGE!MOUTING_HOLE_150M!1815.000!0.000!0.000!NO!!!1815.000!0.000!NO!D150C250!!!0.000!!!
S!!!PIN!!PACKAGE!MOUTING_HOLE_150M!1815.000!2130.000!0.000!NO!!!1815.000!2130.000!NO!D150C250!!!0.000!!!
S!!!PIN!!PACKAGE!MOUTING_HOLE_150M!0.000!0.000!0.000!NO!!!0.000!0.000!NO!D150C250!!!0.000!!!
